"","GEOID","NAME","NAMELSAD","State_Name","Elev_mean_m","Elev_cell_count","County_center_Long","County_center_Lat"
"169","53041","Lewis","Lewis County","Washington",580,42728,-96.7873997260689,41.9163237828574
"170","36003","Allegany","Allegany County","New York",558,16927,-96.7873997260689,41.9163237828574
"171","19031","Cedar","Cedar County","Iowa",237,9408,-96.7873997260689,41.9163237828574
"172","18117","Orange","Orange County","Indiana",206,6281,-96.7873997260689,41.9163237828574
"173","13089","DeKalb","DeKalb County","Georgia",279,3915,-96.7873997260689,41.9163237828574
"174","13227","Pickens","Pickens County","Georgia",428,3405,-96.7873997260689,41.9163237828574
"175","30015","Chouteau","Chouteau County","Montana",987,71659,-96.7873997260689,41.9163237828574
"176","31017","Brown","Brown County","Nebraska",787,19950,-96.7873997260689,41.9163237828574
"177","47013","Campbell","Campbell County","Tennessee",481,7460,-96.7873997260689,41.9163237828574
"178","37069","Franklin","Franklin County","North Carolina",93,7381,-96.7873997260689,41.9163237828574
"179","24510","Baltimore","Baltimore city","Maryland",51,1426,-96.7873997260689,41.9163237828574
"180","20111","Lyon","Lyon County","Kansas",367,13141,-96.7873997260689,41.9163237828574
"181","19027","Carroll","Carroll County","Iowa",393,9249,-96.7873997260689,41.9163237828574
"182","22107","Tensas","Tensas Parish","Louisiana",19,9116,-96.7873997260689,41.9163237828574
"183","47123","Monroe","Monroe County","Tennessee",437,9678,-96.7873997260689,41.9163237828574
"184","20075","Hamilton","Hamilton County","Kansas",1050,15256,-96.7873997260689,41.9163237828574
"185","19151","Pocahontas","Pocahontas County","Iowa",375,9476,-96.7873997260689,41.9163237828574
"186","16045","Gem","Gem County","Idaho",1086,9495,-96.7873997260689,41.9163237828574
"187","05063","Independence","Independence County","Arkansas",135,11446,-96.7873997260689,41.9163237828574
"188","05085","Lonoke","Lonoke County","Arkansas",70,11821,-96.7873997260689,41.9163237828574
"189","18111","Newton","Newton County","Indiana",204,6446,-96.7873997260689,41.9163237828574
"190","13119","Franklin","Franklin County","Georgia",228,3899,-96.7873997260689,41.9163237828574
"191","12051","Hendry","Hendry County","Florida",6,16081,-96.7873997260689,41.9163237828574
