time,dayofyr,ammonium,NO3_ppm[0],NO3_ppm[1],NO3_ppm[2],NO3_ppm[3],NO3_ppm[4],NO3_ppm[5],NO3_ppm[6],NO3_ppm[7],NO3_ppm[8],NO3_ppm[9]        etc...
2006.83,320,0.270766,0.000087,0.108818,0.241613,0.035491,0.027735,0.018324,0.711303,0.620701,,
2008.58,243,0.270803,0.130732,0.190833,0.261598,0.200368,0.250878,0.204547,0.233817,0.129282,,
2006.75,291,0.271333,0.000678,0.044067,0.131088,0.078882,0.063852,0.042226,0.710193,0.620163,,
2017.58,237,0.271507,0.092008,0.113653,0.24561,0.207461,0.229674,0.177836,0.226675,0.155279,,
2006.83,319,0.272208,0.000062,0.108628,0.241216,0.035284,0.027612,0.018285,0.711256,0.620678,,
2004.83,312,0.272279,0.001633,0.090475,0.230492,0.04907,0.023747,0.010494,0.038242,0.039157,,
2008.58,242,0.272506,0.130452,0.190085,0.260022,0.199659,0.250448,0.204397,0.233677,0.129202,,
2015.42,177,0.274128,-0.034003,0.074005,0.169074,0.204979,0.199237,0.118535,0.12461,0.070735,,
2006.83,318,0.274192,0.000083,0.108831,0.241687,0.035247,0.027611,0.018314,0.711223,0.620661,,
2004.83,311,0.274507,0.001528,0.090457,0.230577,0.049092,0.023515,0.010467,0.038301,0.039246,,
2004.58,225,0.275295,0.0004,0.13625,0.402672,0.205601,0.599685,0.755697,1.713053,0.741767,,
2006.83,317,0.275731,0.000056,0.10874,0.241509,0.03508,0.027517,0.018291,0.711178,0.620639,,
2008.58,241,0.277451,0.134656,0.188988,0.252878,0.197571,0.249183,0.203954,0.23324,0.128984,,
2006.83,316,0.277858,0.000034,0.109044,0.242202,0.035085,0.027546,0.018337,0.711148,0.620625,,
2004.83,310,0.278578,0.001341,0.090448,0.231008,0.04903,0.023114,0.010421,0.038415,0.039416,,
2008.58,240,0.278814,0.134433,0.188392,0.251621,0.197006,0.24884,0.203834,0.233126,0.128978,,
2006.75,290,0.279242,0.001383,0.044861,0.135112,0.081917,0.066907,0.044277,0.709835,0.61998,,
