time,dayofyr,ammonium,NO3_ppm[0],NO3_ppm[1],NO3_ppm[2],NO3_ppm[3],NO3_ppm[4],NO3_ppm[5],NO3_ppm[6],NO3_ppm[7],NO3_ppm[8],NO3_ppm[9]        etc...
2081.42,177,0.228137,0.120928,0.260598,0.444312,0.406544,0.439808,0.289025,0.266755,0.128015,,
2079.67,268,0.228137,0.088605,0.082817,0.102171,0.06868,0.09799,0.115968,0.185287,0.128119,,
2081.42,178,0.228137,0.121503,0.262131,0.440577,0.411133,0.440689,0.289332,0.267052,0.128174,,
2079.67,265,0.228137,0.096842,0.073579,0.084965,0.06093,0.094187,0.115459,0.185384,0.128232,,
2081.42,179,0.228137,0.120147,0.263907,0.445323,0.413227,0.441845,0.289737,0.26745,0.128368,,
2079.67,269,0.228137,0.089666,0.085647,0.108135,0.071364,0.099617,0.116537,0.185849,0.128405,,
2081.42,180,0.228137,0.120284,0.264272,0.446093,0.413573,0.442054,0.28981,0.267512,0.12841,,
2081.42,181,0.228137,0.120388,0.26455,0.446678,0.413836,0.442214,0.289866,0.267555,0.128444,,
2051.67,263,0.228137,0.096104,0.068977,0.075924,0.057059,0.092218,0.115202,0.185502,0.128473,,
2079.67,266,0.228137,0.097817,0.076181,0.090449,0.063398,0.095682,0.115982,0.1859,0.128495,,
2053.42,169,0.228137,0.148426,0.277671,0.424831,0.400819,0.440543,0.290306,0.267894,0.128514,,
2053.42,170,0.228137,0.148587,0.2781,0.425735,0.401226,0.440789,0.290391,0.26797,0.128563,,
2053.42,171,0.228137,0.148727,0.278472,0.426521,0.401579,0.441004,0.290464,0.268034,0.128606,,
2079.67,270,0.228137,0.090516,0.087912,0.112908,0.073512,0.100918,0.116992,0.186297,0.128634,,
2053.42,172,0.228137,0.148849,0.278796,0.427204,0.401887,0.44119,0.290527,0.268089,0.128644,,
2053.42,173,0.228137,0.149026,0.279269,0.4282,0.402335,0.441461,0.290622,0.268178,0.128661,,
2053.42,174,0.228137,0.149143,0.279582,0.428859,0.402631,0.441641,0.290684,0.268234,0.128692,,
2053.42,175,0.228137,0.149238,0.279834,0.429391,0.40287,0.441786,0.290733,0.268274,0.128724,,
2053.42,176,0.228137,0.149324,0.280064,0.429875,0.403088,0.441918,0.290778,0.268309,0.128753,,
2051.67,264,0.228137,0.097201,0.071903,0.082089,0.059833,0.0939,0.11579,0.186083,0.128768,,
2079.67,267,0.228137,0.095579,0.080835,0.096577,0.066066,0.097285,0.116557,0.186462,0.128768,,
2079.67,271,0.228137,0.091259,0.089894,0.117085,0.075391,0.102001,0.11743,0.186691,0.128818,,
2051.67,268,0.228137,0.089433,0.084651,0.105922,0.070605,0.099507,0.116961,0.186614,0.12896,,
2051.67,265,0.228137,0.097622,0.075091,0.087938,0.062465,0.095467,0.116368,0.186637,0.129037,,
2053.42,177,0.228137,0.121735,0.262846,0.449055,0.410401,0.44372,0.291409,0.268934,0.129052,,
2079.67,272,0.228137,0.084807,0.093964,0.125439,0.078167,0.103683,0.118018,0.187276,0.129108,,
2053.42,178,0.228137,0.122337,0.264451,0.445395,0.415091,0.444642,0.291731,0.269245,0.129218,,
2092.42,182,0.228137,0.153759,0.214617,0.240636,0.16435,0.241898,0.2184,0.244043,0.129244,,
2051.67,269,0.228137,0.090545,0.087617,0.112173,0.073418,0.101211,0.117557,0.187203,0.129259,,
