"Climate_Scenario","scenario_abbrev","Mgmt_Scenario","Scenario_Name","Model","site_name","CO2e_N2O","CO2e_CH4","CO2e_SOC","GWP","climate_desc"
5,"RF25-CR",43,"5_43","APSIM","KBS",20.99287047,-0.9097820064,-6.6,13.4830884636,"UKESM_High"
5,"RF25-CR",43,"5_43","Daycent","KBS",8.9550881277,-0.9097820064,1.09999999999999,9.14530612129999,"UKESM_High"
5,"RF25-CR",43,"5_43","Millennial","KBS",14.97397929885,-0.9097820064,47.4727355942162,61.5369328866662,"UKESM_High"
5,"RF25-CR",43,"5_43","RothC","KBS",14.97397929885,-0.9097820064,7.348,21.41219729245,"UKESM_High"
5,"RF35-CR",44,"5_44","APSIM","KBS",18.86264523,-0.951950088,-5.86666666666667,12.0440284753333,"UKESM_High"
5,"RF35-CR",44,"5_44","Daycent","KBS",8.1217127277,-0.951950088,2.56666666666666,9.73642930636666,"UKESM_High"
5,"RF35-CR",44,"5_44","Millennial","KBS",13.49217897885,-0.951950088,50.5765265803431,63.1167554711931,"UKESM_High"
5,"RF35-CR",44,"5_44","RothC","KBS",13.49217897885,-0.951950088,8.00616666666667,20.5463955575167,"UKESM_High"
5,"RR50-CR",51,"5_51","APSIM","KBS",27.92959455,-0.696855384,-8.43333333333333,18.7994058326667,"UKESM_High"
5,"RR50-CR",51,"5_51","Daycent","KBS",11.404088553,-0.696855384,-11,-0.292766831000001,"UKESM_High"
5,"RR50-CR",51,"5_51","Millennial","KBS",19.6668415515,-0.696855384,37.7720462755999,56.7420324430999,"UKESM_High"
5,"RR50-CR",51,"5_51","RothC","KBS",19.6668415515,-0.696855384,5.65473333333333,24.6247195008333,"UKESM_High"
5,"RR25-CR",52,"5_52","APSIM","KBS",29.29573218,-0.5279690664,-8.43333333333333,20.3344297802667,"UKESM_High"
