"year","Obs_sd","treatment_scen","Model","C_val"
1999,NA,"Cover Crop, Crop Rotation","APSIM",24.2
1999,NA,"Cover Crop, Crop Rotation","Daycent",25.5
1999,NA,"Cover Crop, Crop Rotation","RothC",24.8339
1999,NA,"Cover Crop, Crop Rotation","Millennial",27.5110883956473
2000,2.6017012463002,"Cover Crop, Crop Rotation","Observed",26.77875
2000,NA,"Cover Crop, Crop Rotation","APSIM",24.3
2000,NA,"Cover Crop, Crop Rotation","Daycent",25.7
2000,NA,"Cover Crop, Crop Rotation","RothC",25.0461
2000,NA,"Cover Crop, Crop Rotation","Millennial",27.8349012642193
2001,3.03817091355967,"Cover Crop, Crop Rotation","Observed",26.27
2001,NA,"Cover Crop, Crop Rotation","APSIM",24.6
2001,NA,"Cover Crop, Crop Rotation","Daycent",25.6
2001,NA,"Cover Crop, Crop Rotation","RothC",25.3415
2001,NA,"Cover Crop, Crop Rotation","Millennial",28.2351721479376
2002,NA,"Cover Crop, Crop Rotation","Observed",NA
2002,NA,"Cover Crop, Crop Rotation","APSIM",24.7
2002,NA,"Cover Crop, Crop Rotation","Daycent",25.8
2002,NA,"Cover Crop, Crop Rotation","RothC",25.5274
2002,NA,"Cover Crop, Crop Rotation","Millennial",28.7971875927648
2003,NA,"Cover Crop, Crop Rotation","Observed",NA
2003,NA,"Cover Crop, Crop Rotation","APSIM",24.6
2003,NA,"Cover Crop, Crop Rotation","Daycent",25.9
2003,NA,"Cover Crop, Crop Rotation","RothC",25.6452
2003,NA,"Cover Crop, Crop Rotation","Millennial",29.5123749792551
2004,NA,"Cover Crop, Crop Rotation","Observed",NA
2004,NA,"Cover Crop, Crop Rotation","APSIM",24.9
2004,NA,"Cover Crop, Crop Rotation","Daycent",26.1
2004,NA,"Cover Crop, Crop Rotation","RothC",25.8669
2004,NA,"Cover Crop, Crop Rotation","Millennial",30.1794194062724
2005,NA,"Cover Crop, Crop Rotation","Observed",NA
2005,NA,"Cover Crop, Crop Rotation","APSIM",24.8
2005,NA,"Cover Crop, Crop Rotation","Daycent",26.2
2005,NA,"Cover Crop, Crop Rotation","RothC",25.6084
2005,NA,"Cover Crop, Crop Rotation","Millennial",30.7301727911848
2006,NA,"Cover Crop, Crop Rotation","Observed",NA
2006,NA,"Cover Crop, Crop Rotation","APSIM",24.8
2006,NA,"Cover Crop, Crop Rotation","Daycent",26.8
2006,NA,"Cover Crop, Crop Rotation","RothC",26.2606
2006,NA,"Cover Crop, Crop Rotation","Millennial",30.8367416821037
2007,NA,"Cover Crop, Crop Rotation","Observed",NA
2007,NA,"Cover Crop, Crop Rotation","APSIM",25
2007,NA,"Cover Crop, Crop Rotation","Daycent",27
