"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha"
"APSIM","2","63","2_63","0.575725252525238","0.497622222222219","0.593090909090918","-0.5","5.62363","0.183915586206898",NA,NA,"57.8"
"APSIM","2","64","2_64","0.570634343434328","0.495133333333328","0.591167676767682","-1.2","5.4029","0.181995448275864",NA,NA,"67.2"
"APSIM","2","65","2_65","0.564921212121199","0.492488888888879","0.594844444444448","-1.8","5.221","0.179635724137932",NA,NA,"76.9"
"APSIM","3","1","3_1","-1.31633939393937","0.000155555555572562","0.259636363636364","2.3","6.94951","0.115205517241378",NA,NA,"28.3"
"Daycent","3","1","3_1","0.261094249158244","-0.168535111111094","0.316900197530867","1.1","25.4011127","0.0373578344827665","-19.8375227","0.121502603831417","27"
"Millennial","3","1","3_1",NA,NA,NA,"-6.98495483080681",NA,NA,NA,NA,"58.6633954449483"
"RothC","3","1","3_1",NA,NA,NA,"-1.1485",NA,NA,NA,NA,"19.9358"
"APSIM","3","2","3_2","-1.24467070707068","-1.33777777777777","0.186214141414146","2.1","6.83021","0.109545931034483",NA,NA,"30.2"
"Daycent","3","2","3_2","-0.0347462716049396","-0.231087802469116","0.301038716049383","3.4","18.4986196","0.0179634055172476","-80.2924072","-0.0647390076628733","34.4"
"Millennial","3","2","3_2",NA,NA,NA,"-2.37151240649259",NA,NA,NA,NA,"63.2089226672005"
"RothC","3","2","3_2",NA,NA,NA,"-0.445899999999998",NA,NA,NA,NA,"25.5984"
"APSIM","3","3","3_3","-1.82175353535354","0.107644444444444","-0.0018101010101006","0.900000000000002","2.98475","0.000497241379309787",NA,NA,"27.1"
"Daycent","3","3","3_3","0.893671506172851","0.356211160493846","0.401933086419753","-0.899999999999999","22.4704849","-0.0220869903448243","-8.7756526","0.344718640613031","27.1"
"Millennial","3","3","3_3",NA,NA,NA,"-1.58581124821221",NA,NA,NA,NA,"68.8635590726161"
"RothC","3","3","3_3",NA,NA,NA,"0.036999999999999",NA,NA,NA,NA,"27.2184"
"APSIM","3","41","3_41","-1.32080808080806","0.000155555555572562","0.306642424242426","2.2","6.61996","0.109042896551725",NA,NA,"28.2"
"Daycent","3","41","3_41","0.212688879910209","-0.169668246913563","0.299354567901233","1","24.4383298","0.0314874758620767","-20.0693816","0.113143030651338","26.9"
"Millennial","3","41","3_41",NA,NA,NA,"-7.34392107556941",NA,NA,NA,NA,"58.3044292001857"
"RothC","3","41","3_41",NA,NA,NA,"-1.2233",NA,NA,NA,NA,"19.861"
"APSIM","3","42","3_42","-1.29246868686867","0.000155555555572562","0.334642424242428","2","5.98696","0.0932398620689655",NA,NA,"28"
"Daycent","3","42","3_42","0.264998662177327","-0.172257382716033","0.262075506172838","0.600000000000001","22.5287815","0.0212877751724211","-20.4367369","0.10244167356321","26.5"
"Millennial","3","42","3_42",NA,NA,NA,"-8.10066025944821",NA,NA,NA,NA,"57.5476900163069"
"RothC","3","42","3_42",NA,NA,NA,"-1.3806",NA,NA,NA,NA,"19.7037"
"APSIM","3","43","3_43","-1.12373333333332","0.000155555555572562","0.283789898989905","1.9","5.42716","0.0768926896551729",NA,NA,"27.8"
"Daycent","3","43","3_43","0.315635232323228","-0.173968148148129","0.217683753086419","0.200000000000003","20.6206377","0.00878523034483469","-20.9145398","0.0996611226053583","26.1"
"Millennial","3","43","3_43",NA,NA,NA,"-9.00857942492971",NA,NA,NA,NA,"56.6397708508254"
"RothC","3","43","3_43",NA,NA,NA,"-1.5701",NA,NA,NA,NA,"19.5142"
"APSIM","3","44","3_44","-0.929656565656558","0.000155555555572562","0.170319191919196","1.7","4.90843","0.0614015172413802",NA,NA,"27.6"
