Model,Climate_Scenario,Mgmt_Scenario,Scenario_Name,Maize_Diff_Mgha,Soybean_Diff_Mgha,Wheat_Diff_Mgha,SOC_Diff_Mgha,Total_N2O_kgha,N2O_Diff_kgha,Total_CH4_kgha,CH4_Diff_kgha,Total_SOC_Mgha,Cotton_Diff_Mgha,Sorghum_Diff_Mgha,N2O_Mgha,CH4_Mgha,CO2e_SOC,CO2e_N2O,CO2e_CH4,scenario_abbrev,GWP,,
APSIM,5,53,5_53,-4.454375758,0.445044444,-0.764315152,4,52.65455,0.973758621,-9.58667162,NA,35.4,NA,NA,0.05265455,-0.009586672,-14.66666667,22.58880195,-0.345120178,RR00-CR,7.577015105,,
APSIM,5,61,5_61,-4.450246465,0.4522,0.105664646,1.7,38.90913,1.086288966,NA,NA,38.5,NA,NA,0.03890913,NA,-6.233333333,16.69201677,NA,BC19-CR,10.45868344,,
APSIM,5,62,5_62,-4.438537374,0.454222222,0.130044444,0.9,37.71826,1.115726483,NA,NA,48.5,NA,NA,0.03771826,NA,-3.3,16.18113354,NA,BC38-CR,12.88113354,,
APSIM,5,63,5_63,-4.432145455,0.457333333,0.140791919,-0.1,36.67017,1.121570621,NA,NA,58.2,NA,NA,0.03667017,NA,0.366666667,15.73150293,NA,BC57-CR,16.0981696,,
APSIM,5,64,5_64,-4.426545455,0.460133333,0.14859798,-0.8,35.80124,1.117268,NA,NA,67.6,NA,NA,0.03580124,NA,2.933333333,15.35873196,NA,BC76-CR,18.29206529,,
APSIM,5,65,5_65,-4.421058586,0.462,0.159345455,-1.4,35.03015,1.108505241,NA,NA,77.3,NA,NA,0.03503015,NA,5.133333333,15.02793435,NA,BC96-CR,20.16126768,,
Daycent,1,1,1_1,-0.778854662,0.657125432,-0.649662914,2,24.4333908,-0.10468761,-9.67170804,0.036884431,27.9,NA,NA,0.024433391,-0.009671708,-7.333333333,10.48192465,-0.348181489,CR,2.80040983,,
Daycent,1,2,1_2,-0.357058765,0.660105185,-0.455097481,4.2,17.6419254,-0.075504279,-9.630733491,0.022006567,35.2,NA,NA,0.017641925,-0.009630733,-15.4,7.568385997,-0.346706406,NT-CR,-8.178320409,,
Daycent,1,3,1_3,-0.496638797,0.608673679,-0.638741877,-0.1,20.4505009,-0.13800041,-9.73035712,0.044637982,27.9,NA,NA,0.020450501,-0.009730357,0.366666667,8.773264886,-0.350292856,CC-CR,8.789638696,,
Daycent,1,41,1_41,-0.819802541,0.654940741,-0.635594815,1.8,23.5378508,-0.107081,-9.67493926,0.036824176,27.7,NA,NA,0.023537851,-0.009674939,-6.6,10.09773799,-0.348297813,RF05-CR,3.14944018,,
Daycent,1,42,1_42,-0.794629567,0.651048049,-0.60768884,1.4,21.7137449,-0.109583225,-9.67730874,0.037160667,27.3,NA,NA,0.021713745,-0.009677309,-5.133333333,9.315196562,-0.348383115,RF15-CR,3.833480114,,
Daycent,1,43,1_43,-0.721534294,0.647648642,-0.563600247,1,19.9170563,-0.11058847,-9.68537148,0.037064577,26.9,NA,NA,0.019917056,-0.009685371,-3.666666667,8.544417153,-0.348673373,RF25-CR,4.529077113,,
Daycent,1,44,1_44,-0.665129158,0.642766963,-0.532832741,0.5,18.1598335,-0.11419152,-9.69507912,0.036995436,26.4,NA,NA,0.018159834,-0.009695079,-1.833333333,7.790568572,-0.349022848,RF35-CR,5.60821239,,
Daycent,1,51,1_51,-0.288826254,0.678608,-0.505062617,4.6,24.7281428,-0.05571039,-9.63372946,0.037376367,30.5,NA,NA,0.024728143,-0.009633729,-16.86666667,10.60837326,-0.346814261,RR50-CR,-6.605107666,,
Daycent,1,52,1_52,0.305443735,0.685566864,-0.348553333,6.9,24.2274357,-0.012405941,-9.50730834,0.036102175,32.8,NA,NA,0.024227436,-0.009507308,-25.3,10.39356992,-0.3422631,RR25-CR,-15.24869318,,
Daycent,1,53,1_53,0.833951371,0.641012296,-0.276984642,6.8,23.5909808,-0.003731778,-9.16516466,0.03595537,32.7,NA,NA,0.023590981,-0.009165165,-24.93333333,10.12053076,-0.329945928,RR00-CR,-15.1427485,,
Daycent,2,1,2_1,0.007997755,-0.105194272,0.113678617,1.5,24.6630232,-0.031091099,-9.4300309,0.011511835,27.4,NA,NA,0.024663023,-0.009430031,-5.5,10.58043695,-0.339481112,CR,4.74095584,,
Daycent,2,2,2_2,-0.170095695,-0.077696198,0.23670958,3.6,18.2117567,-0.015595177,-9.382596239,0.001735965,34.6,NA,NA,0.018211757,-0.009382596,-13.2,7.812843624,-0.337773465,NT-CR,-5.72492984,,
Daycent,2,3,2_3,-0.660431946,0.27972484,0.055413728,-1,19.9201313,-0.054856208,-9.4216713,0.019897281,27,NA,NA,0.019920131,-0.009421671,3.666666667,8.545736328,-0.339180167,CC-CR,11.87322283,,
Daycent,2,41,2_41,-0.005216862,-0.105067062,0.101069284,1.3,23.7388924,-0.033062234,-9.43249642,0.011546613,27.2,NA,NA,0.023738892,-0.009432496,-4.766666667,10.18398484,-0.339569871,RF05-CR,5.077748302,,
Daycent,2,42,2_42,-0.032905374,-0.105418617,0.08471279,0.9,21.8647583,-0.03679128,-9.43853074,0.011449138,26.8,NA,NA,0.021864758,-0.009438531,-3.3,9.379981311,-0.339787107,RF15-CR,5.740194204,,
Daycent,2,43,2_43,0.002283241,-0.106439407,0.06056158,0.5,20.0060784,-0.03958592,-9.44534772,0.01136654,26.4,NA,NA,0.020006078,-0.009445348,-1.833333333,8.582607634,-0.340032518,RF25-CR,6.409241782,,
Daycent,2,44,2_44,-0.01498198,-0.10748716,0.041927753,0.1,18.1191151,-0.042681799,-9.45330614,0.011267888,26,NA,NA,0.018119115,-0.009453306,-0.366666667,7.773100378,-0.340319021,RF35-CR,7.06611469,,
Daycent,2,51,2_51,0.449295856,-0.085136938,0.324825235,4.1,25.0174926,0.018419059,-9.38926938,0.011528181,30,NA,NA,0.025017493,-0.009389269,-15.03333333,10.73250433,-0.338013698,RR50-CR,-4.638842706,,
Daycent,2,52,2_52,0.94066286,-0.074230074,0.553220889,6.4,24.9256402,0.035729498,-9.2759783,0.0170732,32.3,NA,NA,0.02492564,-0.009275978,-23.46666667,10.69309965,-0.333935219,RR25-CR,-13.10750224,,
Daycent,2,53,2_53,1.303998276,-0.047159259,0.81443358,6.6,24.0408344,0.026687833,-9.03620842,0.01323688,32.5,NA,NA,0.024040834,-0.009036208,-24.2,10.31351796,-0.325303503,RR00-CR,-14.21178555,,
Daycent,3,1,3_1,0.415304422,-0.120797531,0.021737679,1.8,24.6718626,0.085535572,-9.78734924,0.003092352,27.7,NA,NA,0.024671863,-0.009787349,-6.6,10.58422906,-0.352344573,CR,3.631884483,,
Daycent,3,2,3_2,0.10912571,-0.175696543,0.067336198,3.9,18.5995637,0.159009503,-9.81883398,-0.010610586,34.9,NA,NA,0.018599564,-0.009818834,-14.3,7.979212827,-0.353478023,NT-CR,-6.674265196,,
Daycent,3,3,3_3,0.890456314,0.376932543,0.156694222,-0.4,21.6280926,-0.05169693,-9.75280528,0.013162184,27.6,NA,NA,0.021628093,-0.009752805,1.466666667,9.278451725,-0.35110099,CC-CR,10.3940174,,
Daycent,3,41,3_41,0.397783776,-0.121634765,0.012138173,1.6,23.7224636,0.078147582,-9.78787776,0.003372615,27.5,NA,NA,0.023722464,-0.009787878,-5.866666667,10.17693688,-0.352363599,RF05-CR,3.957906618,,
Daycent,3,42,3_42,0.458146119,-0.12497921,-0.012580988,1.2,21.8022992,0.061911793,-9.78765314,0.00316787,27.1,NA,NA,0.021802299,-0.009787653,-4.4,9.353186357,-0.352355513,RF15-CR,4.600830844,,
Daycent,3,43,3_43,0.465846339,-0.126365383,-0.043098914,0.8,19.9135756,0.046289759,-9.79537984,0.003128749,26.7,NA,NA,0.019913576,-0.00979538,-2.933333333,8.542923932,-0.352633674,RF25-CR,5.256956925,,
Daycent,3,44,3_44,0.419612337,-0.127015951,-0.077347753,0.3,18.0467465,0.028319629,-9.80427486,0.002981384,26.2,NA,NA,0.018046747,-0.009804275,-1.1,7.742054249,-0.352953895,RF35-CR,6.289100354,,
Daycent,3,51,3_51,0.820339789,-0.10500242,0.15279842,4.4,25.093532,0.148799606,-9.7494756,0.003624374,30.3,NA,NA,0.025093532,-0.009749476,-16.13333333,10.76512523,-0.350981122,RR50-CR,-5.719189227,,
Daycent,3,52,3_52,1.269630743,-0.089143358,0.261183654,6.6,25.5547049,0.281761294,-9.63923474,0.002516022,32.5,NA,NA,0.025554705,-0.009639235,-24.2,10.9629684,-0.347012451,RR25-CR,-13.58404405,,
Daycent,3,53,3_53,1.630918985,-0.029941679,0.285685037,6.8,27.6553106,0.44790925,-9.34939242,0.004406763,32.7,NA,NA,0.027655311,-0.009349392,-24.93333333,11.86412825,-0.336578127,RR00-CR,-13.40578321,,
Daycent,4,1,4_1,-1.08904765,-0.617882222,0.8554,0.7,25.7497196,-0.039835697,-9.59003784,-0.008837452,26.6,NA,NA,0.02574972,-0.009590038,-2.566666667,11.04662971,-0.345241362,CR,8.134721679,,
Daycent,4,2,4_2,-0.811457724,-0.685147556,0.756286222,2.8,20.4712352,-0.005557486,-9.616782803,-0.017300948,33.8,NA,NA,0.020471235,-0.009616783,-10.26666667,8.782159901,-0.346204181,NT-CR,-1.830710947,,
