year,date,Obs_sd,treatment_scen,Model,mb_val
2003,12175,NA,Continuous Crop,Millennial,0.606309599
2003,12176,NA,Continuous Crop,Observed,NA
2003,12176,NA,Continuous Crop,Millennial,0.608468022
2003,12177,NA,Continuous Crop,Observed,NA
2003,12177,NA,Continuous Crop,Millennial,0.610619232
2003,12178,NA,Continuous Crop,Observed,NA
2003,12178,NA,Continuous Crop,Millennial,0.612888164
2003,12179,NA,Continuous Crop,Observed,NA
2003,12179,NA,Continuous Crop,Millennial,0.615140798
2003,12180,NA,Continuous Crop,Observed,NA
2003,12180,NA,Continuous Crop,Millennial,0.617273388
2003,12181,NA,Continuous Crop,Observed,NA
2003,12181,NA,Continuous Crop,Millennial,0.6192908
2003,12182,NA,Continuous Crop,Observed,NA
2003,12182,NA,Continuous Crop,Millennial,0.621283283
2003,12183,NA,Continuous Crop,Observed,NA
2003,12183,NA,Continuous Crop,Millennial,0.62354841
2003,12184,NA,Continuous Crop,Observed,NA
2003,12184,NA,Continuous Crop,Millennial,0.626050041
2003,12185,NA,Continuous Crop,Observed,NA
2003,12185,NA,Continuous Crop,Millennial,0.628294316
2003,12186,NA,Continuous Crop,Observed,NA
2003,12186,NA,Continuous Crop,Millennial,0.630108465
2003,12187,NA,Continuous Crop,Observed,NA
2003,12187,NA,Continuous Crop,Millennial,0.631657133
2003,12188,NA,Continuous Crop,Observed,NA
2003,12188,NA,Continuous Crop,Millennial,0.633315516
2003,12189,NA,Continuous Crop,Observed,NA
2003,12189,NA,Continuous Crop,Millennial,0.635222278
2003,12190,NA,Continuous Crop,Observed,NA
2003,12190,NA,Continuous Crop,Millennial,0.636778126
2003,12191,NA,Continuous Crop,Observed,NA
2003,12191,NA,Continuous Crop,Millennial,0.638029331
2003,12192,NA,Continuous Crop,Observed,NA
2003,12192,NA,Continuous Crop,Millennial,0.640581389
2003,12193,NA,Continuous Crop,Observed,NA
2003,12193,NA,Continuous Crop,Millennial,0.64424993
2003,12194,NA,Continuous Crop,Observed,NA
2003,12194,NA,Continuous Crop,Millennial,0.64776986
2003,12195,NA,Continuous Crop,Observed,NA
2003,12195,NA,Continuous Crop,Millennial,0.650756905
2003,12196,NA,Continuous Crop,Observed,NA
2003,12196,NA,Continuous Crop,Millennial,0.653435041
2003,12197,NA,Continuous Crop,Observed,NA
2003,12197,NA,Continuous Crop,Millennial,0.656467135
2003,12198,NA,Continuous Crop,Observed,NA
2003,12198,NA,Continuous Crop,Millennial,0.659992423
2003,12199,NA,Continuous Crop,Observed,NA
2003,12199,NA,Continuous Crop,Millennial,0.663691824
2003,12200,NA,Continuous Crop,Observed,NA
2003,12200,NA,Continuous Crop,Millennial,0.667134243
2003,12201,NA,Continuous Crop,Observed,NA
2003,12201,NA,Continuous Crop,Millennial,0.670012443
2003,12202,NA,Continuous Crop,Observed,NA
2003,12202,NA,Continuous Crop,Millennial,0.671992796
2003,12203,NA,Continuous Crop,Observed,NA
2003,12203,NA,Continuous Crop,Millennial,0.67331022
2003,12204,NA,Continuous Crop,Observed,NA
2003,12204,NA,Continuous Crop,Millennial,0.674528899
2003,12205,NA,Continuous Crop,Observed,NA
2003,12205,NA,Continuous Crop,Millennial,0.67579342
2003,12206,NA,Continuous Crop,Observed,NA
2003,12206,NA,Continuous Crop,Millennial,0.676996191
2003,12207,NA,Continuous Crop,Observed,NA
2003,12207,NA,Continuous Crop,Millennial,0.678849734
2003,12208,NA,Continuous Crop,Observed,NA
2003,12208,NA,Continuous Crop,Millennial,0.681790253
2003,12209,NA,Continuous Crop,Observed,NA
2003,12209,NA,Continuous Crop,Millennial,0.685317881
2003,12210,NA,Continuous Crop,Observed,NA
2003,12210,NA,Continuous Crop,Millennial,0.688903287
2003,12211,NA,Continuous Crop,Observed,NA
2003,12211,NA,Continuous Crop,Millennial,0.692751647
2003,12212,NA,Continuous Crop,Observed,NA
2003,12212,NA,Continuous Crop,Millennial,0.696387759
2003,12213,NA,Continuous Crop,Observed,NA
2003,12213,NA,Continuous Crop,Millennial,0.699168995
2003,12214,NA,Continuous Crop,Observed,NA
2003,12214,NA,Continuous Crop,Millennial,0.701095719
2003,12215,NA,Continuous Crop,Observed,NA
2003,12215,NA,Continuous Crop,Millennial,0.702084491
2003,12216,NA,Continuous Crop,Observed,NA
2003,12216,NA,Continuous Crop,Millennial,0.703144855
2003,12217,NA,Continuous Crop,Observed,NA
2003,12217,NA,Continuous Crop,Millennial,0.704748005
2003,12218,NA,Continuous Crop,Observed,NA
2003,12218,NA,Continuous Crop,Millennial,0.70663914
2003,12219,NA,Continuous Crop,Observed,NA
2003,12219,NA,Continuous Crop,Millennial,0.708439712
2003,12220,NA,Continuous Crop,Observed,NA
2003,12220,NA,Continuous Crop,Millennial,0.709985065
2003,12221,NA,Continuous Crop,Observed,NA
2003,12221,NA,Continuous Crop,Millennial,0.71142061
2003,12222,NA,Continuous Crop,Observed,NA
2003,12222,NA,Continuous Crop,Millennial,0.712950315
2003,12223,NA,Continuous Crop,Observed,NA
2003,12223,NA,Continuous Crop,Millennial,0.714590016
2003,12224,NA,Continuous Crop,Observed,NA
2003,12224,NA,Continuous Crop,Millennial,0.715688389
2003,12225,NA,Continuous Crop,Observed,NA
2003,12225,NA,Continuous Crop,Millennial,0.715223215
2003,12226,NA,Continuous Crop,Observed,NA
2003,12226,NA,Continuous Crop,Millennial,0.713133756
2003,12227,NA,Continuous Crop,Observed,NA
2003,12227,NA,Continuous Crop,Millennial,0.710187634
2003,12228,NA,Continuous Crop,Observed,NA
2003,12228,NA,Continuous Crop,Millennial,0.707101879
2003,12229,NA,Continuous Crop,Observed,NA
2003,12229,NA,Continuous Crop,Millennial,0.705554873
2003,12230,NA,Continuous Crop,Observed,NA
2003,12230,NA,Continuous Crop,Millennial,0.705747318
2003,12231,NA,Continuous Crop,Observed,NA
2003,12231,NA,Continuous Crop,Millennial,0.70566793
2003,12232,NA,Continuous Crop,Observed,NA
2003,12232,NA,Continuous Crop,Millennial,0.705478534
2003,12233,NA,Continuous Crop,Observed,NA
2003,12233,NA,Continuous Crop,Millennial,0.705799782
2003,12234,NA,Continuous Crop,Observed,NA
2003,12234,NA,Continuous Crop,Millennial,0.705637107
2003,12235,NA,Continuous Crop,Observed,NA
2003,12235,NA,Continuous Crop,Millennial,0.704331797
2003,12236,NA,Continuous Crop,Observed,NA
2003,12236,NA,Continuous Crop,Millennial,0.702073165
2003,12237,NA,Continuous Crop,Observed,NA
2003,12237,NA,Continuous Crop,Millennial,0.699349892
2003,12238,NA,Continuous Crop,Observed,NA
2003,12238,NA,Continuous Crop,Millennial,0.696560737
2003,12239,NA,Continuous Crop,Observed,NA
2003,12239,NA,Continuous Crop,Millennial,0.69433729
2003,12240,NA,Continuous Crop,Observed,NA
2003,12240,NA,Continuous Crop,Millennial,0.692564814
2003,12241,NA,Continuous Crop,Observed,NA
2003,12241,NA,Continuous Crop,Millennial,0.690416283
2003,12242,NA,Continuous Crop,Observed,NA
2003,12242,NA,Continuous Crop,Millennial,0.687352043
2003,12243,NA,Continuous Crop,Observed,NA
2003,12243,NA,Continuous Crop,Millennial,0.683122086
2003,12244,NA,Continuous Crop,Observed,NA
2003,12244,NA,Continuous Crop,Millennial,0.678062824
2003,12245,NA,Continuous Crop,Observed,NA
2003,12245,NA,Continuous Crop,Millennial,0.672168088
2003,12246,NA,Continuous Crop,Observed,NA
2003,12246,NA,Continuous Crop,Millennial,0.665246781
2003,12247,NA,Continuous Crop,Observed,NA
2003,12247,NA,Continuous Crop,Millennial,0.657353422
2003,12248,NA,Continuous Crop,Observed,NA
2003,12248,NA,Continuous Crop,Millennial,0.648890658
2003,12249,NA,Continuous Crop,Observed,NA
2003,12249,NA,Continuous Crop,Millennial,0.641342235
2003,12250,NA,Continuous Crop,Observed,NA
2003,12250,NA,Continuous Crop,Millennial,0.635008773
2003,12251,NA,Continuous Crop,Observed,NA
2003,12251,NA,Continuous Crop,Millennial,0.628756496
2003,12252,NA,Continuous Crop,Observed,NA
2003,12252,NA,Continuous Crop,Millennial,0.622329689
2003,12253,NA,Continuous Crop,Observed,NA
2003,12253,NA,Continuous Crop,Millennial,0.615409719
2003,12254,NA,Continuous Crop,Observed,NA
2003,12254,NA,Continuous Crop,Millennial,0.607813644
2003,12255,NA,Continuous Crop,Observed,NA
2003,12255,NA,Continuous Crop,Millennial,0.599758768
2003,12256,NA,Continuous Crop,Observed,NA
2003,12256,NA,Continuous Crop,Millennial,0.592044089
2003,12257,NA,Continuous Crop,Observed,NA
2003,12257,NA,Continuous Crop,Millennial,0.58481769
2003,12258,NA,Continuous Crop,Observed,NA
2003,12258,NA,Continuous Crop,Millennial,0.577486612
2003,12259,NA,Continuous Crop,Observed,NA
