"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha","N2O_Mgha","CH4_Mgha","CO2e_SOC","CO2e_N2O","CO2e_CH4","scenario_abbrev","GWP"
"Daycent",4,3,"4_3",NA,NA,NA,2,11.1080386,0.00133033793103565,18.8083001,0.526688963984569,10.9,0.113204888888889,0.0760494358974295,0.0111080386,0.0188083001,-7.33333333333333,4.7653485594,0.6770988036,"CC-CR",-1.89088597033333
"Daycent",4,41,"4_41",NA,NA,NA,1.2,11.1625103,0.0235382510344836,6.2700883,0.456782971647466,10.3,0.535002666666664,0.649663863247852,0.0111625103,0.0062700883,-4.4,4.7887169187,0.2257231788,"RF05-CR",0.6144400975
"Daycent",4,42,"4_42",NA,NA,NA,0.899999999999999,10.9149906,0.0177418082758629,3.9993878,0.425038986973144,10,0.508775666666665,0.572921914529907,0.0109149906,0.0039993878,-3.3,4.6825309674,0.1439779608,"RF15-CR",1.5265089282
"Daycent",4,43,"4_43",NA,NA,NA,0.599999999999998,10.6523669,0.0109940800000008,1.5979102,0.387429483524869,9.7,0.477466111111113,0.493303726495718,0.0106523669,0.0015979102,-2.19999999999999,4.5698654001,0.0575247672,"RF25-CR",2.42739016730001
"Daycent",4,44,"4_44",NA,NA,NA,0.399999999999999,10.3762047,0.00414908551724208,-0.9304183,0.346323919540198,9.5,0.439444777777776,0.411185777777767,0.0103762047,-0.0009304183,-1.46666666666666,4.4513918163,-0.0334950588,"RF35-CR",2.95123009083334
"Daycent",4,51,"4_51",NA,NA,NA,1.5,11.195444,-0.00152423172413724,-7.026152,0.237350753256665,9.3,0.436435333333336,0.244874119658107,0.011195444,-0.007026152,-5.5,4.802845476,-0.252941472,"RR50-CR",-0.950095995999999
"Daycent",4,52,"4_52",NA,NA,NA,2.2,11.0450897,-0.000118864827585496,-0.2766283,0.335021520306473,10.6,0.477244333333338,0.337682735042719,0.0110450897,-0.0002766283,-8.06666666666667,4.7383434813,-0.0099586188,"RR25-CR",-3.33828180416667
"Daycent",4,53,"4_53",NA,NA,NA,1.3,11.2874578,0.0264555655172426,7.3674242,0.471476738697274,10.4,0.548231000000001,0.686318905982894,0.0112874578,0.0073674242,-4.76666666666667,4.8423193962,0.2652272712,"RR00-CR",0.340880000733334
"Daycent",4,54,"4_54",NA,NA,NA,3.7,8.8571528,0.00791164413793116,-111.0612578,0.0745956137930652,12.2,0.343679888888889,0.15494454700853,0.0088571528,-0.1110612578,-13.5666666666667,3.7997185512,-3.9982052808,"RR50-NT-CR",-13.7651533962667
"Daycent",4,55,"4_55",NA,NA,NA,4.6,8.8486947,0.00926505517241391,-102.9769744,0.0653082827585858,13.3,0.33784133333333,0.144862769230752,0.0088486947,-0.1029769744,-16.8666666666667,3.7960900263,-3.7071710784,"RR25-NT-CR",-16.7777477187667
"Daycent",4,56,"4_56",NA,NA,NA,5.4,8.9511378,0.011353023448276,-94.3228906,0.0555137984674077,14.4,0.336513777777775,0.129171829059811,0.0089511378,-0.0943228906,-19.8,3.8400381162,-3.3956240616,"RR00-NT-CR",-19.3555859454
"Daycent",4,7,"4_7",NA,NA,NA,-0.199999999999999,8.359815,0.0103757806896562,-26.1868406,0.321724291954058,8.2,0.3030049348659,NA,0.008359815,-0.0261868406,0.73333333333333,3.586360635,-0.9427262616,"CN",3.37696770673333
"Daycent",4,8,"4_8",NA,NA,NA,5.2,8.2792622,0.0036575931034484,-95.8592555,0.250033385440565,14.4,0.024839555555553,0.0681371623931382,0.0082792622,-0.0958592555,-19.0666666666667,3.5518034838,-3.450933198,"CC-NT-CR",-18.9657963808667
"Daycent",5,3,"5_3",NA,NA,NA,1.7,11.2529175,0.0366864717241392,15.0182495,0.355977057471169,10.6,0.548317666666669,0.801870222222242,0.0112529175,0.0150182495,-6.23333333333333,4.8275016075,0.540656982,"CC-CR",-0.865174743833332
"Daycent",5,41,"5_41",NA,NA,NA,1.1,11.6476772,0.0669348206896566,7.3537027,0.75205392413785,10.2,0.883942222222224,1.2117712820513,0.0116476772,0.0073537027,-4.03333333333333,4.9968535188,0.2647332972,"RF05-CR",1.22825348266667
"Daycent",5,42,"5_42",NA,NA,NA,0.899999999999999,11.3811692,0.0590333144827601,4.696789,0.688513717241301,10,0.81748566666667,1.11746776068378,0.0113811692,0.004696789,-3.3,4.8825215868,0.169084404,"RF15-CR",1.7516059908
"Daycent",5,43,"5_43",NA,NA,NA,0.599999999999998,11.0990933,0.0509320758620702,1.9425637,0.623478275095709,9.7,0.748796888888897,1.0254884786325,0.0110990933,0.0019425637,-2.19999999999999,4.7615110257,0.0699322932,"RF25-CR",2.63144331890001
