"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha"
"Daycent",3,54,"3_54",NA,NA,NA,"1.1","6.7523282","0.00245047034482981","-144.8255699","-0.20535787892717","8.3","-0.275265444444442","0.330429059829063"
"Daycent",3,55,"3_55",NA,NA,NA,"1.6","6.6879521","0.00822483862069193","-140.7941392","-0.181110632950161","8.9","-0.287194777777776","0.391262700854705"
"Daycent",3,56,"3_56",NA,NA,NA,"2","6.6300563","0.0132832234482783","-136.283787","-0.159047366283495","9.4","-0.296608555555554","0.457160547008552"
"Daycent",3,7,"3_7",NA,NA,NA,"-0.899999999999999","8.5557393","0.0174128786206918","-60.6166129","0.0631110888889066","6.1","-0.072718007662829",NA
"Daycent",3,8,"3_8",NA,NA,NA,"3.7","8.7074695","0.0158435131034496","-116.7146133","-0.0733005386973118","11.6","-0.306876666666666","0.824185367521379"
"Daycent",4,3,"4_3",NA,NA,NA,"1.1","11.1442514","-0.00861323034482586","-25.5033418","-0.0399920551724416","8.5","0.245624888888887","-0.454007179487189"
"Daycent",4,41,"4_41",NA,NA,NA,"-0.700000000000001","8.9802152","-0.00667090896551573","-52.2768068","0.0397817011494366","6.4","0.188698444444444","-0.0974449914529993"
"Daycent",4,42,"4_42",NA,NA,NA,"-0.800000000000001","8.8016404","-0.00869070620689513","-53.3675671","0.0217201777777887","6.3","0.175615555555555","-0.119812717948726"
"Daycent",4,43,"4_43",NA,NA,NA,"-0.9","8.6127115","-0.0109717475862055","-54.4671147","0.00308790574713735","6.2","0.158365111111111","-0.139130598290606"
"Daycent",4,44,"4_44",NA,NA,NA,"-1","8.4179278","-0.0135736579310332","-55.5711242","-0.0152745111111008","6.1","0.140418222222222","-0.161290119658127"
"Daycent",4,51,"4_51",NA,NA,NA,"-0.5","9.0922","-0.0126256662068952","-62.3383892","-0.124690136398456","5.8","0.165264999999999","-0.307431452991462"
"Daycent",4,52,"4_52",NA,NA,NA,"-0.200000000000001","9.1323935","-0.00970654620689512","-58.4045374","-0.0873221325670375","6.5","0.172395666666666","-0.25101764102565"
"Daycent",4,53,"4_53",NA,NA,NA,"-0.700000000000001","9.0636049","-0.0056027682758604","-51.727448","0.048467175478939","6.4","0.193540888888888","-0.087646769230777"
"Daycent",4,54,"4_54",NA,NA,NA,"0.999999999999999","7.0453048","-0.0109875268965501","-144.8186467","-0.129786509578526","8.2","0.120881777777778","-0.264974222222232"
"Daycent",4,55,"4_55",NA,NA,NA,"1.5","7.0034172","-0.00944835310344672","-140.6847122","-0.113484244444426","8.8","0.121344000000001","-0.255954803418814"
"Daycent",4,56,"4_56",NA,NA,NA,"2","6.9622229","-0.0079045668965502","-136.1226662","-0.11279813946358","9.4","0.119856222222223","-0.246456068376079"
"Daycent",4,7,"4_7",NA,NA,NA,"-0.899999999999999","8.787017","-0.00791664413792914","-59.7647639","0.0885175019157352","6.1","0.0819622068965534",NA
"Daycent",4,8,"4_8",NA,NA,NA,"3.7","9.028129","-0.0118699034482757","-115.2102331","-0.114114947126437","11.6","0.136063444444448","-0.440666940170963"
"Daycent",5,3,"5_3",NA,NA,NA,"0.8","11.4412373","0.0298886703448291","-28.2518253","-0.159196295019162","8.2","-0.0308755555555584","0.756089025641014"
